county,fips,cases,deaths,latitude,longitude
Terrell,13273,135.0,11.0,31.82,-84.32
Thomas,13275,92.0,9.0,30.79,-83.79
Tift,13277,74.0,1.0,31.41,-83.39
Toombs,13279,16.0,1.0,32.2,-82.32
Towns,13281,8.0,0.0,34.94,-83.75
Treutlen,13283,1.0,0.0,32.37,-82.59
Troup,13285,68.0,4.0,33.16,-84.9
Turner,13287,41.0,1.0,31.7,-83.65
Twiggs,13289,3.0,0.0,32.6,-83.24
Union,13291,8.0,1.0,34.87,-83.95
Walker,13295,13.0,0.0,34.87,-85.29
Walton,13297,52.0,3.0,33.71,-83.8
Ware,13299,66.0,4.0,31.21,-82.35
Warren,13301,8.0,0.0,33.45,-82.64
Washington,13303,22.0,0.0,32.98,-82.6
Wayne,13305,6.0,0.0,31.33,-81.95
Webster,13307,3.0,0.0,32.06,-84.54
Wheeler,13309,3.0,0.0,32.14,-82.77
White,13311,14.0,0.0,34.59,-83.76
Whitfield,13313,31.0,3.0,34.95,-84.95
Wilcox,13315,29.0,0.0,31.99,-83.3
Wilkes,13317,8.0,0.0,33.79,-82.9
Wilkinson,13319,14.0,1.0,32.59,-83.22
Worth,13321,104.0,4.0,31.77,-83.97
